Unnamed: 0,u,i,ts,label,idx
1151,243,8412,32177.0,0.0,1152
1571,324,8412,44810.0,0.0,1572
1575,325,8412,44940.0,0.0,1576
1596,331,8412,45449.0,0.0,1597
1601,332,8412,45592.0,0.0,1602
1837,332,8412,51598.0,0.0,1838
2223,427,8412,60270.0,0.0,2224
2244,433,8412,60770.0,0.0,2245
2322,453,8412,62727.0,0.0,2323
2350,463,8412,63326.0,0.0,2351
2354,463,8412,63361.0,0.0,2355
2373,469,8412,63741.0,0.0,2374
2388,470,8412,63984.0,0.0,2389
2438,488,8412,65417.0,0.0,2439
2448,490,8412,65693.0,0.0,2449
2452,490,8412,65719.0,0.0,2453
2533,243,8412,67857.0,0.0,2534
2668,535,8412,70912.0,0.0,2669
2713,535,8412,71752.0,0.0,2714
2865,571,8412,74527.0,0.0,2866
2956,494,8412,76034.0,0.0,2957
2970,585,8412,76358.0,0.0,2971
2972,571,8412,76411.0,0.0,2973
2998,571,8412,76962.0,0.0,2999
3065,535,8412,78128.0,0.0,3066
3066,535,8412,78164.0,0.0,3067
3081,120,8412,78389.0,0.0,3082
3099,497,8412,78878.0,0.0,3100
3414,571,8412,84267.0,0.0,3415
3620,659,8412,89703.0,0.0,3621
3623,191,8412,89763.0,0.0,3624
3689,571,8412,91915.0,0.0,3690
3700,676,8412,92375.0,0.0,3701
3848,699,8412,98412.0,0.0,3849
3991,37,8412,102086.0,0.0,3992
4042,725,8412,103002.0,0.0,4043
4059,725,8412,103518.0,0.0,4060
4064,320,8412,103654.0,0.0,4065
4394,571,8412,111237.0,0.0,4395
4697,801,8412,118419.0,0.0,4698
4809,676,8412,121376.0,0.0,4810
4823,818,8412,121799.0,0.0,4824
4830,818,8412,121941.0,0.0,4831
4837,676,8412,122216.0,0.0,4838
4861,37,8412,123587.0,0.0,4862
4880,37,8412,124311.0,0.0,4881
5114,331,8412,129988.0,0.0,5115
5213,286,8412,132632.0,0.0,5214
5240,676,8412,133283.0,0.0,5241
5293,871,8412,135193.0,0.0,5294
5703,463,8412,143926.0,0.0,5704
5720,463,8412,144222.0,0.0,5721
5774,919,8412,145129.0,0.0,5775
5869,928,8412,146328.0,0.0,5870
5873,928,8412,146375.0,0.0,5874
5884,571,8412,146556.0,0.0,5885
5895,571,8412,146906.0,0.0,5896
5903,934,8412,146982.0,0.0,5904
5919,571,8412,147337.0,0.0,5920
5959,919,8412,148239.0,0.0,5960
5967,913,8412,148365.0,0.0,5968
5969,919,8412,148397.0,0.0,5970
5973,18,8412,148451.0,0.0,5974
5975,919,8412,148481.0,0.0,5976
6068,571,8412,149954.0,0.0,6069
6102,954,8412,150510.0,0.0,6103
6113,18,8412,150750.0,0.0,6114
6144,966,8412,151321.0,0.0,6145
6298,982,8412,153625.0,0.0,6299
6378,430,8412,154358.0,0.0,6379
6383,982,8412,154422.0,0.0,6384
6543,564,8412,157316.0,0.0,6544
6775,385,8412,162157.0,0.0,6776
6808,982,8412,162771.0,0.0,6809
6869,982,8412,164422.0,0.0,6870
7019,982,8412,166840.0,0.0,7020
7074,1071,8412,167811.0,0.0,7075
7097,463,8412,168148.0,0.0,7098
7378,37,8412,172443.0,0.0,7379
7382,37,8412,172471.0,0.0,7383
