interaction_index,actual_timestamp,inter_arrival_time
0,35804.0,0.0
1,43183.0,7379.0
2,43298.0,115.0
3,43330.0,32.0
4,47293.0,3963.0
5,47328.0,35.0
6,49225.0,1897.0
7,50300.0,1075.0
8,50991.0,691.0
9,64210.0,13219.0
10,1414549.0,1350339.0
11,1414785.0,236.0
12,1414860.0,75.0
13,1415781.0,921.0
14,1415872.0,91.0
15,1415893.0,21.0
16,1416681.0,788.0
17,1416780.0,99.0
18,1417612.0,832.0
19,1417644.0,32.0
20,1419289.0,1645.0
21,1419515.0,226.0
22,1427812.0,8297.0
23,1446691.0,18879.0
24,1455705.0,9014.0
25,1455846.0,141.0
26,1542672.0,86826.0
27,1544454.0,1782.0
28,1544678.0,224.0
29,1545071.0,393.0
30,1545220.0,149.0
31,1545889.0,669.0
32,1582806.0,36917.0
33,1584112.0,1306.0
34,1584532.0,420.0
35,1584553.0,21.0
36,1584725.0,172.0
37,1584790.0,65.0
38,1584949.0,159.0
39,1585514.0,565.0
40,1587274.0,1760.0
41,1588697.0,1423.0
42,1590352.0,1655.0
43,1598044.0,7692.0
44,1614313.0,16269.0
45,1614382.0,69.0
46,1614420.0,38.0
47,1616108.0,1688.0
48,1616152.0,44.0
49,1616298.0,146.0
50,1724159.0,107861.0
51,1757436.0,33277.0
52,1758581.0,1145.0
53,1758636.0,55.0
54,1758659.0,23.0
55,1758696.0,37.0
56,1842972.0,84276.0
57,1843780.0,808.0
58,1843829.0,49.0
59,1844512.0,683.0
60,1844765.0,253.0
61,1844818.0,53.0
62,1844976.0,158.0
63,1860286.0,15310.0
64,1861032.0,746.0
65,1878381.0,17349.0
66,1878412.0,31.0
67,1878463.0,51.0
68,1878483.0,20.0
69,1878509.0,26.0
70,1878542.0,33.0
71,1878567.0,25.0
72,1879023.0,456.0
73,1879587.0,564.0
74,1889729.0,10142.0
75,1922254.0,32525.0
76,1928727.0,6473.0
77,1929105.0,378.0
78,1929189.0,84.0
79,1929235.0,46.0
80,1930297.0,1062.0
81,1930341.0,44.0
82,1930447.0,106.0
83,1930602.0,155.0
84,1931051.0,449.0
85,1931249.0,198.0
86,2194347.0,263098.0
87,2224444.0,30097.0
88,2284137.0,59693.0
89,2284253.0,116.0
90,2284342.0,89.0
91,2284734.0,392.0
92,2284856.0,122.0
93,2285784.0,928.0
94,2287385.0,1601.0
95,2287458.0,73.0
96,2300045.0,12587.0
97,2300068.0,23.0
98,2300172.0,104.0
99,2300935.0,763.0
100,2302001.0,1066.0
101,2302129.0,128.0
102,2302310.0,181.0
103,2302386.0,76.0
104,2302693.0,307.0
105,2302769.0,76.0
106,2302913.0,144.0
107,2304368.0,1455.0
108,2363025.0,58657.0
109,2369349.0,6324.0
110,2369445.0,96.0
111,2369938.0,493.0
112,2371372.0,1434.0
113,2372061.0,689.0
114,2372458.0,397.0
115,2379863.0,7405.0
116,2379947.0,84.0
117,2380128.0,181.0
118,2380172.0,44.0
119,2380581.0,409.0
120,2389945.0,9364.0
121,2390389.0,444.0
122,2390493.0,104.0
123,2391956.0,1463.0
124,2451232.0,59276.0
125,2451395.0,163.0
126,2451556.0,161.0
127,2451966.0,410.0
128,2539116.0,87150.0
129,2539782.0,666.0
130,2540632.0,850.0
131,2542043.0,1411.0
132,2543031.0,988.0
133,2546654.0,3623.0
134,2546898.0,244.0
135,2556306.0,9408.0
136,2559834.0,3528.0
137,2560044.0,210.0
138,2560202.0,158.0
139,2560356.0,154.0
140,2568357.0,8001.0
141,2568403.0,46.0
142,2568424.0,21.0
143,2636501.0,68077.0
144,2637223.0,722.0
145,2638979.0,1756.0
146,2639221.0,242.0
