Unnamed: 0,u,i,ts,label,idx
1305,234,8429,35804.0,0.0,1306
1518,307,8429,43183.0,0.0,1519
1523,307,8429,43298.0,0.0,1524
1526,307,8429,43330.0,0.0,1527
1672,307,8429,47293.0,0.0,1673
1675,307,8429,47328.0,0.0,1676
1747,307,8429,49225.0,0.0,1748
1779,307,8429,50300.0,0.0,1780
1803,69,8429,50991.0,0.0,1804
2394,307,8429,64210.0,0.0,2395
82144,307,8429,1414549.0,0.0,82145
82158,307,8429,1414785.0,0.0,82159
82163,307,8429,1414860.0,0.0,82164
82225,307,8429,1415781.0,0.0,82226
82234,307,8429,1415872.0,0.0,82235
82237,307,8429,1415893.0,0.0,82238
82280,307,8429,1416681.0,0.0,82281
82288,307,8429,1416780.0,0.0,82289
82342,307,8429,1417612.0,0.0,82343
82344,307,8429,1417644.0,0.0,82345
82421,307,8429,1419289.0,0.0,82422
82432,307,8429,1419515.0,0.0,82433
82947,1854,8429,1427812.0,0.0,82948
84300,307,8429,1446691.0,0.0,84301
85094,307,8429,1455705.0,0.0,85095
85109,307,8429,1455846.0,0.0,85110
91424,307,8429,1542672.0,0.0,91425
91550,307,8429,1544454.0,0.0,91551
91567,307,8429,1544678.0,0.0,91568
91593,307,8429,1545071.0,0.0,91594
91606,307,8429,1545220.0,0.0,91607
91656,307,8429,1545889.0,0.0,91657
94070,307,8429,1582806.0,0.0,94071
94135,307,8429,1584112.0,0.0,94136
94172,307,8429,1584532.0,0.0,94173
94174,307,8429,1584553.0,0.0,94175
94186,307,8429,1584725.0,0.0,94187
94190,307,8429,1584790.0,0.0,94191
94196,307,8429,1584949.0,0.0,94197
94232,307,8429,1585514.0,0.0,94233
94331,307,8429,1587274.0,0.0,94332
94381,307,8429,1588697.0,0.0,94382
94450,307,8429,1590352.0,0.0,94451
94819,307,8429,1598044.0,0.0,94820
95670,307,8429,1614313.0,0.0,95671
95678,307,8429,1614382.0,0.0,95679
95681,307,8429,1614420.0,0.0,95682
95802,307,8429,1616108.0,0.0,95803
95805,307,8429,1616152.0,0.0,95806
95812,307,8429,1616298.0,0.0,95813
102607,3679,8429,1724159.0,0.0,102608
104267,307,8429,1757436.0,0.0,104268
104324,307,8429,1758581.0,0.0,104325
104327,307,8429,1758636.0,0.0,104328
104329,307,8429,1758659.0,0.0,104330
104333,307,8429,1758696.0,0.0,104334
109274,307,8429,1842972.0,0.0,109275
109314,307,8429,1843780.0,0.0,109315
109317,307,8429,1843829.0,0.0,109318
109353,307,8429,1844512.0,0.0,109354
109370,307,8429,1844765.0,0.0,109371
109376,307,8429,1844818.0,0.0,109377
109386,307,8429,1844976.0,0.0,109387
110109,307,8429,1860286.0,0.0,110110
110141,307,8429,1861032.0,0.0,110142
111212,307,8429,1878381.0,0.0,111213
111214,307,8429,1878412.0,0.0,111215
111223,307,8429,1878463.0,0.0,111224
111226,307,8429,1878483.0,0.0,111227
111231,307,8429,1878509.0,0.0,111232
111236,307,8429,1878542.0,0.0,111237
111237,307,8429,1878567.0,0.0,111238
111266,307,8429,1879023.0,0.0,111267
111311,307,8429,1879587.0,0.0,111312
112002,307,8429,1889729.0,0.0,112003
114449,234,8429,1922254.0,0.0,114450
114792,307,8429,1928727.0,0.0,114793
114802,307,8429,1929105.0,0.0,114803
114805,307,8429,1929189.0,0.0,114806
114807,307,8429,1929235.0,0.0,114808
114868,307,8429,1930297.0,0.0,114869
114871,307,8429,1930341.0,0.0,114872
114875,307,8429,1930447.0,0.0,114876
114878,307,8429,1930602.0,0.0,114879
114903,41,8429,1931051.0,0.0,114904
114911,307,8429,1931249.0,0.0,114912
132616,307,8429,2194347.0,0.0,132617
134373,7349,8429,2224444.0,0.0,134374
138200,307,8429,2284137.0,0.0,138201
138204,307,8429,2284253.0,0.0,138205
138208,307,8429,2284342.0,0.0,138209
138223,307,8429,2284734.0,0.0,138224
138231,307,8429,2284856.0,0.0,138232
138285,307,8429,2285784.0,0.0,138286
138344,307,8429,2287385.0,0.0,138345
138345,307,8429,2287458.0,0.0,138346
138893,307,8429,2300045.0,0.0,138894
138896,307,8429,2300068.0,0.0,138897
138906,307,8429,2300172.0,0.0,138907
138946,307,8429,2300935.0,0.0,138947
138999,307,8429,2302001.0,0.0,139000
139003,307,8429,2302129.0,0.0,139004
139017,307,8429,2302310.0,0.0,139018
139023,307,8429,2302386.0,0.0,139024
139054,307,8429,2302693.0,0.0,139055
139061,307,8429,2302769.0,0.0,139062
