interaction_index,actual_timestamp,inter_arrival_time
0,32177.0,0.0
1,44810.0,12633.0
2,44940.0,130.0
3,45449.0,509.0
4,45592.0,143.0
5,51598.0,6006.0
6,60270.0,8672.0
7,60770.0,500.0
8,62727.0,1957.0
9,63326.0,599.0
10,63361.0,35.0
11,63741.0,380.0
12,63984.0,243.0
13,65417.0,1433.0
14,65693.0,276.0
15,65719.0,26.0
16,67857.0,2138.0
17,70912.0,3055.0
18,71752.0,840.0
19,74527.0,2775.0
20,76034.0,1507.0
21,76358.0,324.0
22,76411.0,53.0
23,76962.0,551.0
24,78128.0,1166.0
25,78164.0,36.0
26,78389.0,225.0
27,78878.0,489.0
28,84267.0,5389.0
29,89703.0,5436.0
30,89763.0,60.0
31,91915.0,2152.0
32,92375.0,460.0
33,98412.0,6037.0
34,102086.0,3674.0
35,103002.0,916.0
36,103518.0,516.0
37,103654.0,136.0
38,111237.0,7583.0
39,118419.0,7182.0
40,121376.0,2957.0
41,121799.0,423.0
42,121941.0,142.0
43,122216.0,275.0
44,123587.0,1371.0
45,124311.0,724.0
46,129988.0,5677.0
47,132632.0,2644.0
48,133283.0,651.0
49,135193.0,1910.0
50,143926.0,8733.0
51,144222.0,296.0
52,145129.0,907.0
53,146328.0,1199.0
54,146375.0,47.0
55,146556.0,181.0
56,146906.0,350.0
57,146982.0,76.0
58,147337.0,355.0
59,148239.0,902.0
60,148365.0,126.0
61,148397.0,32.0
62,148451.0,54.0
63,148481.0,30.0
64,149954.0,1473.0
65,150510.0,556.0
66,150750.0,240.0
67,151321.0,571.0
68,153625.0,2304.0
69,154358.0,733.0
70,154422.0,64.0
71,157316.0,2894.0
72,162157.0,4841.0
73,162771.0,614.0
74,164422.0,1651.0
75,166840.0,2418.0
76,167811.0,971.0
77,168148.0,337.0
78,172443.0,4295.0
79,172471.0,28.0
80,174075.0,1604.0
81,177343.0,3268.0
82,178388.0,1045.0
83,179170.0,782.0
84,186110.0,6940.0
85,186170.0,60.0
86,186302.0,132.0
87,190007.0,3705.0
88,190317.0,310.0
89,190489.0,172.0
90,191095.0,606.0
91,193543.0,2448.0
92,199359.0,5816.0
93,206027.0,6668.0
94,206339.0,312.0
95,208926.0,2587.0
96,209260.0,334.0
97,212498.0,3238.0
98,212579.0,81.0
99,213289.0,710.0
100,214053.0,764.0
101,216184.0,2131.0
102,216804.0,620.0
103,218222.0,1418.0
104,219570.0,1348.0
105,220181.0,611.0
106,223645.0,3464.0
107,225319.0,1674.0
108,234415.0,9096.0
109,234618.0,203.0
110,236425.0,1807.0
111,238595.0,2170.0
112,241188.0,2593.0
113,241908.0,720.0
114,241994.0,86.0
115,243046.0,1052.0
116,243119.0,73.0
117,248304.0,5185.0
118,248447.0,143.0
119,250644.0,2197.0
120,250645.0,1.0
121,250674.0,29.0
122,250713.0,39.0
123,258208.0,7495.0
124,259672.0,1464.0
125,260359.0,687.0
126,260507.0,148.0
127,260615.0,108.0
128,260637.0,22.0
129,261202.0,565.0
130,262105.0,903.0
131,263314.0,1209.0
132,266375.0,3061.0
133,270950.0,4575.0
134,270973.0,23.0
135,271569.0,596.0
136,277954.0,6385.0
137,288695.0,10741.0
138,290964.0,2269.0
139,291948.0,984.0
140,292195.0,247.0
141,292914.0,719.0
142,294804.0,1890.0
143,294835.0,31.0
144,295122.0,287.0
145,296113.0,991.0
146,299986.0,3873.0
147,302573.0,2587.0
148,303137.0,564.0
149,313865.0,10728.0
150,313953.0,88.0
151,315236.0,1283.0
152,315836.0,600.0
153,316022.0,186.0
154,316035.0,13.0
155,316136.0,101.0
156,316287.0,151.0
157,316646.0,359.0
158,319063.0,2417.0
159,319504.0,441.0
160,319723.0,219.0
161,319735.0,12.0
162,319942.0,207.0
163,320030.0,88.0
164,320782.0,752.0
165,328267.0,7485.0
166,329777.0,1510.0
167,332294.0,2517.0
168,336446.0,4152.0
169,339534.0,3088.0
170,339620.0,86.0
171,339754.0,134.0
172,340201.0,447.0
173,340911.0,710.0
174,341038.0,127.0
175,341247.0,209.0
176,341288.0,41.0
177,345167.0,3879.0
178,346940.0,1773.0
179,347927.0,987.0
180,348097.0,170.0
181,353112.0,5015.0
182,353875.0,763.0
183,353903.0,28.0
184,353954.0,51.0
185,354407.0,453.0
186,355000.0,593.0
187,357896.0,2896.0
188,357913.0,17.0
189,357951.0,38.0
190,358529.0,578.0
191,358856.0,327.0
192,362674.0,3818.0
193,364864.0,2190.0
194,364990.0,126.0
195,365092.0,102.0
196,365124.0,32.0
197,365208.0,84.0
198,365347.0,139.0
199,365347.0,0.0
200,365385.0,38.0
201,365464.0,79.0
202,366318.0,854.0
203,366779.0,461.0
204,374860.0,8081.0
205,377031.0,2171.0
206,380711.0,3680.0
207,381190.0,479.0
208,381309.0,119.0
209,381912.0,603.0
210,384059.0,2147.0
211,386921.0,2862.0
212,387130.0,209.0
213,388982.0,1852.0
214,389005.0,23.0
215,391894.0,2889.0
216,393065.0,1171.0
217,394961.0,1896.0
218,405765.0,10804.0
219,405786.0,21.0
220,405929.0,143.0
221,407943.0,2014.0
222,408081.0,138.0
223,409031.0,950.0
224,409810.0,779.0
225,416512.0,6702.0
226,418771.0,2259.0
227,418804.0,33.0
228,419410.0,606.0
229,420075.0,665.0
230,423267.0,3192.0
231,428556.0,5289.0
232,428760.0,204.0
233,429354.0,594.0
234,437549.0,8195.0
235,438953.0,1404.0
236,442577.0,3624.0
237,442790.0,213.0
238,443337.0,547.0
239,448131.0,4794.0
240,450974.0,2843.0
241,451752.0,778.0
242,452193.0,441.0
243,454604.0,2411.0
244,460981.0,6377.0
245,461040.0,59.0
246,461762.0,722.0
247,466078.0,4316.0
248,467399.0,1321.0
249,469743.0,2344.0
250,472806.0,3063.0
251,475721.0,2915.0
252,477186.0,1465.0
253,479801.0,2615.0
254,480688.0,887.0
255,481653.0,965.0
256,482528.0,875.0
257,488678.0,6150.0
258,490628.0,1950.0
259,490690.0,62.0
260,492528.0,1838.0
261,492749.0,221.0
262,493387.0,638.0
263,502341.0,8954.0
264,502522.0,181.0
265,502624.0,102.0
266,503752.0,1128.0
267,507484.0,3732.0
268,508323.0,839.0
269,511441.0,3118.0
270,514561.0,3120.0
271,514601.0,40.0
272,517387.0,2786.0
273,517781.0,394.0
274,520853.0,3072.0
275,521296.0,443.0
276,522986.0,1690.0
