interaction_index,actual_timestamp
0,208885.0
1,208921.0
2,208977.0
3,209120.0
4,209223.0
5,209247.0
6,209705.0
7,209737.0
8,209821.0
9,209865.0
10,210165.0
11,210440.0
12,210457.0
13,210482.0
14,211460.0
15,211502.0
16,211577.0
17,211604.0
18,211633.0
19,211726.0
20,211875.0
21,212280.0
22,212518.0
23,212525.0
24,212785.0
25,212923.0
26,213806.0
27,213824.0
28,213835.0
29,213964.0
30,214259.0
31,214423.0
32,214443.0
33,214475.0
34,214582.0
35,214598.0
36,215446.0
37,215519.0
38,215581.0
39,215600.0
40,215614.0
41,215674.0
42,215755.0
43,215930.0
44,216029.0
45,216084.0
46,216122.0
47,216377.0
48,216403.0
49,216919.0
50,216932.0
51,217016.0
52,217060.0
53,217275.0
54,217405.0
55,217611.0
56,217643.0
57,217657.0
58,217994.0
59,218048.0
60,218621.0
61,218653.0
62,218784.0
63,218798.0
64,219152.0
65,219222.0
66,219417.0
67,220190.0
68,220456.0
69,221042.0
70,221189.0
71,223267.0
72,223309.0
73,223440.0
74,223483.0
75,223652.0
76,223763.0
77,224066.0
78,228752.0
79,229794.0
80,229809.0
81,229823.0
82,229893.0
83,229946.0
84,230071.0
85,234851.0
86,236827.0
87,237103.0
88,237358.0
89,238192.0
90,238216.0
91,238309.0
92,238376.0
93,238939.0
94,238950.0
95,238970.0
96,238978.0
97,239012.0
98,239022.0
99,239038.0
100,239064.0
101,239145.0
102,239217.0
103,239362.0
104,239382.0
105,239395.0
106,239594.0
107,239608.0
108,239714.0
109,240255.0
110,240266.0
111,240355.0
112,240378.0
113,240402.0
114,240465.0
115,240513.0
116,240552.0
117,240672.0
118,240734.0
119,240745.0
120,240773.0
121,240783.0
122,240925.0
123,241388.0
124,241432.0
125,241448.0
126,241489.0
127,241527.0
128,241532.0
129,241807.0
130,241968.0
131,242140.0
132,242286.0
133,242317.0
134,242428.0
135,242622.0
136,242939.0
137,242973.0
138,243879.0
139,243943.0
140,244248.0
141,244350.0
142,244365.0
143,244444.0
144,244484.0
145,244822.0
146,245079.0
147,245344.0
148,245391.0
149,245689.0
150,246026.0
151,246348.0
152,246397.0
153,246437.0
154,246464.0
155,246483.0
156,246486.0
157,247021.0
158,247046.0
159,247166.0
160,247336.0
161,248829.0
162,248850.0
163,248857.0
164,248921.0
165,248931.0
166,248959.0
167,249265.0
168,249295.0
169,251291.0
170,251305.0
171,251355.0
172,251580.0
173,252167.0
174,252394.0
175,252564.0
176,252594.0
177,252776.0
178,253421.0
179,253655.0
180,253708.0
181,253783.0
182,253899.0
183,253968.0
184,254035.0
185,254045.0
186,254111.0
187,254155.0
188,254395.0
189,254411.0
190,254456.0
191,254475.0
192,254522.0
193,254562.0
194,254597.0
195,254662.0
196,254705.0
197,254828.0
198,254838.0
199,254904.0
200,254924.0
201,255126.0
202,255141.0
203,255218.0
204,255275.0
205,255280.0
206,255299.0
207,255328.0
208,255337.0
209,255374.0
210,255405.0
211,255423.0
212,255467.0
213,255482.0
214,255488.0
215,255558.0
216,255593.0
217,255610.0
218,255728.0
219,255756.0
220,255789.0
221,255860.0
222,255919.0
223,255967.0
224,255985.0
225,256087.0
226,256143.0
227,256255.0
228,256387.0
229,256417.0
230,256534.0
231,256641.0
232,256732.0
233,256759.0
234,256837.0
235,256856.0
236,256971.0
237,257056.0
238,257060.0
239,257119.0
240,257128.0
241,257264.0
242,257410.0
243,257833.0
244,257882.0
245,257901.0
246,257916.0
247,258199.0
248,258261.0
249,258312.0
250,258667.0
251,258726.0
252,259392.0
253,259796.0
254,260174.0
255,260273.0
256,260312.0
257,260502.0
258,260571.0
259,260650.0
260,261055.0
261,261201.0
262,261309.0
263,261337.0
264,261362.0
265,261533.0
266,261738.0
267,261755.0
268,262059.0
269,262273.0
270,262716.0
271,262794.0
272,262810.0
273,262895.0
274,263100.0
275,263232.0
276,263464.0
277,263554.0
278,263603.0
279,264012.0
280,264042.0
281,264950.0
282,265872.0
283,266072.0
284,266101.0
285,266105.0
286,266576.0
287,266610.0
288,266925.0
289,266939.0
290,266952.0
291,267121.0
292,267201.0
293,267609.0
294,269228.0
295,269773.0
296,269903.0
297,269905.0
298,270228.0
299,270253.0
300,270291.0
301,270353.0
302,270359.0
303,270407.0
304,270625.0
305,270841.0
306,270908.0
307,270941.0
308,270971.0
309,270981.0
310,271025.0
311,271081.0
312,271095.0
313,271115.0
314,271136.0
315,271153.0
316,271166.0
317,271259.0
318,271293.0
319,271322.0
320,271401.0
321,271405.0
322,271505.0
323,271601.0
324,271795.0
325,271799.0
326,271868.0
327,272254.0
328,272340.0
329,272938.0
330,273438.0
331,274078.0
332,278434.0
333,281585.0
334,282529.0
335,283655.0
336,288775.0
337,293344.0
338,293668.0
339,293938.0
340,294944.0
341,296401.0
342,296548.0
343,296712.0
344,297167.0
345,305867.0
346,314044.0
347,315263.0
348,315921.0
349,316057.0
350,316218.0
351,316606.0
352,316689.0
353,322094.0
354,322142.0
355,322181.0
356,322438.0
357,322781.0
358,322816.0
359,323201.0
360,323533.0
361,323656.0
362,324251.0
363,324415.0
364,324689.0
365,324727.0
366,324852.0
367,325656.0
368,326679.0
369,326757.0
370,327084.0
371,327176.0
372,328549.0
373,329474.0
374,329538.0
375,330424.0
376,330434.0
377,331532.0
378,332265.0
379,332989.0
380,333184.0
381,333467.0
382,333497.0
383,333534.0
384,334749.0
385,334939.0
386,335005.0
387,335079.0
388,335217.0
389,335744.0
390,336700.0
391,336823.0
392,336929.0
393,337017.0
394,337079.0
395,337168.0
396,337954.0
397,337995.0
398,338015.0
399,338039.0
400,338093.0
401,338128.0
402,338182.0
403,338456.0
404,338694.0
405,339198.0
406,339373.0
407,339597.0
408,340352.0
409,341056.0
410,341084.0
411,341133.0
412,341259.0
413,341580.0
414,342491.0
415,348757.0
416,351244.0
417,351787.0
418,352464.0
419,353023.0
420,357013.0
421,357957.0
422,357997.0
423,358027.0
424,358074.0
425,358254.0
426,358783.0
427,360021.0
428,360494.0
429,360543.0
430,360648.0
431,360681.0
432,360973.0
433,362348.0
434,362501.0
435,362738.0
436,362966.0
437,363030.0
438,363056.0
439,363093.0
440,363200.0
441,363262.0
442,363406.0
443,363426.0
444,363717.0
445,363774.0
446,364384.0
447,364583.0
448,364592.0
449,364645.0
450,364683.0
451,364753.0
452,364981.0
453,365005.0
454,365232.0
455,366086.0
456,366212.0
457,366516.0
458,367273.0
459,367319.0
460,367484.0
461,367490.0
462,367530.0
463,367552.0
464,367696.0
465,367835.0
466,367882.0
467,367964.0
468,367988.0
469,368066.0
470,368199.0
471,369779.0
472,369857.0
473,369933.0
474,369999.0
475,370116.0
476,370135.0
477,370810.0
478,371652.0
479,371912.0
480,373159.0
481,373174.0
482,376197.0
483,376252.0
484,377137.0
485,377176.0
486,380640.0
487,383282.0
488,384067.0
489,393532.0
490,393982.0
491,397175.0
492,398277.0
493,399280.0
494,400917.0
495,402134.0
496,405071.0
497,405112.0
498,405135.0
499,405736.0
500,409593.0
501,411165.0
502,411310.0
503,411331.0
504,411336.0
505,411451.0
506,412829.0
507,412946.0
508,412999.0
509,413237.0
510,413268.0
511,413935.0
512,414287.0
513,415030.0
514,415360.0
515,415471.0
516,420780.0
517,420996.0
518,421142.0
519,421275.0
520,421371.0
521,421422.0
522,422474.0
523,424509.0
524,424718.0
525,424792.0
526,426067.0
527,429397.0
528,429434.0
529,429578.0
530,431334.0
531,432593.0
532,433126.0
533,433476.0
534,433777.0
535,433852.0
536,434099.0
537,434256.0
538,435955.0
539,436349.0
540,439743.0
541,440202.0
542,441469.0
543,441508.0
544,445783.0
545,446226.0
546,446264.0
547,448862.0
548,449980.0
549,454407.0
550,456800.0
551,457589.0
552,459603.0
553,459742.0
554,460456.0
555,460616.0
556,460730.0
557,462119.0
558,466381.0
559,467890.0
560,469454.0
561,470392.0
562,470966.0
563,471343.0
564,472250.0
565,480863.0
566,487667.0
567,491625.0
568,492315.0
569,496795.0
570,496808.0
571,496840.0
572,496855.0
573,496866.0
574,496883.0
575,496893.0
576,496922.0
577,496946.0
578,496981.0
579,497056.0
580,497085.0
581,499535.0
582,501954.0
583,510924.0
584,511012.0
585,512534.0
586,512597.0
587,513601.0
588,513937.0
589,514748.0
590,514848.0
591,515120.0
592,520035.0
593,520915.0
594,520933.0
595,521261.0
596,521469.0
597,522008.0
598,522211.0
599,522214.0
600,522358.0
601,522378.0
602,522710.0
603,526566.0
604,527537.0
605,527884.0
606,528025.0
607,528200.0
608,528657.0
609,528943.0
610,529377.0
611,530069.0
612,530451.0
613,530895.0
614,530958.0
615,531029.0
616,531143.0
617,531165.0
618,531180.0
619,531216.0
620,531522.0
621,532425.0
622,532726.0
623,536490.0
624,537149.0
625,537244.0
626,537255.0
627,537327.0
628,537370.0
629,537431.0
630,537946.0
631,538104.0
632,538140.0
633,538379.0
634,542498.0
635,543331.0
636,543596.0
637,543756.0
638,544115.0
639,544293.0
640,549706.0
641,549709.0
642,550134.0
643,550578.0
644,550758.0
645,550781.0
646,551152.0
647,551313.0
648,551543.0
649,552258.0
650,552286.0
651,552520.0
652,552650.0
653,552792.0
654,552806.0
655,555110.0
656,555174.0
657,568542.0
658,569403.0
659,571440.0
660,571491.0
661,571739.0
662,571808.0
663,572787.0
664,572817.0
665,574031.0
666,574576.0
667,574595.0
668,574632.0
669,574658.0
670,574709.0
671,574819.0
672,574836.0
673,574871.0
674,578016.0
675,578144.0
676,580174.0
677,580332.0
678,585795.0
679,585955.0
680,586565.0
681,586967.0
682,588173.0
683,596028.0
684,596171.0
685,601276.0
686,603301.0
687,614013.0
688,620139.0
689,620246.0
690,620305.0
691,620435.0
692,620509.0
693,620697.0
694,621016.0
695,621838.0
696,621918.0
697,623294.0
698,625452.0
699,625786.0
700,625874.0
701,626055.0
702,626638.0
703,626672.0
704,627063.0
705,627609.0
706,627680.0
707,628827.0
708,628869.0
709,630013.0
710,630058.0
711,630094.0
712,644632.0
713,644654.0
714,644677.0
715,644850.0
716,644920.0
717,645395.0
718,645505.0
719,645576.0
720,657075.0
721,658728.0
722,659698.0
723,668352.0
724,669984.0
725,670239.0
726,674750.0
727,675089.0
728,675491.0
729,677134.0
730,679464.0
731,680795.0
732,683174.0
733,683221.0
734,686473.0
735,687016.0
736,687500.0
737,687661.0
738,687839.0
739,687904.0
740,688186.0
741,688421.0
742,690642.0
743,691974.0
744,697488.0
745,698437.0
746,698465.0
747,698502.0
748,703653.0
749,704065.0
750,704136.0
751,704161.0
752,704178.0
753,704401.0
754,704447.0
755,704940.0
756,706183.0
757,706266.0
758,706304.0
759,706521.0
760,706599.0
761,707903.0
762,710502.0
763,711276.0
764,711485.0
765,711527.0
766,711847.0
767,716029.0
768,718262.0
769,720062.0
770,732460.0
771,752172.0
772,754608.0
773,759097.0
774,777586.0
775,781514.0
776,781579.0
777,784108.0
778,785963.0
779,786056.0
780,786144.0
781,786208.0
782,787088.0
783,787545.0
784,814577.0
785,831724.0
786,845186.0
787,845982.0
788,846292.0
789,847473.0
790,847676.0
791,847835.0
792,848529.0
793,854295.0
794,857370.0
795,863700.0
796,865623.0
797,865898.0
798,867799.0
799,871176.0
800,873694.0
801,874137.0
802,882851.0
803,882868.0
804,884200.0
805,902648.0
806,913500.0
807,917057.0
808,917099.0
809,917128.0
810,917155.0
811,917211.0
812,917260.0
813,917326.0
814,917389.0
815,917426.0
816,917486.0
817,917515.0
818,917535.0
819,917583.0
820,918044.0
821,918286.0
822,918323.0
823,918586.0
824,918606.0
825,918619.0
826,918629.0
827,918650.0
828,918670.0
829,918787.0
830,918883.0
831,919138.0
